#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B9C964
#Date Time: 2024-11-15 15:30:01.158
#Sample rate: 400Hz
#Samples: 4096

Time (s),UART2,UART
-1.3125,h15[NAK] Framing Error,hF5[õ]
-1.31,h15[NAK] Framing Error,hF5[õ]
-1.3075,h15[NAK] Framing Error,hF5[õ]
-1.305,h15[NAK] Framing Error,hF5[õ]
-1.3025,h15[NAK] Framing Error,hF5[õ]
-1.3,h15[NAK] Framing Error,hF5[õ]
-1.2975,h15[NAK] Framing Error,hF5[õ]
-1.295,h15[NAK] Framing Error,hF5[õ]
-1.2925,h15[NAK] Framing Error,hF5[õ]
-1.29,h15[NAK] Framing Error,hF5[õ]
-1.2875,h15[NAK] Framing Error,hF5[õ]
-1.285,h15[NAK] Framing Error,hF5[õ]
-1.2825,h15[NAK] Framing Error,hF5[õ]
-1.28,h15[NAK] Framing Error,hF5[õ]
-1.2775,h15[NAK] Framing Error,hF5[õ]
-1.275,h15[NAK] Framing Error,hF5[õ]
-1.2725,h15[NAK] Framing Error,hF5[õ]
-1.27,h15[NAK] Framing Error,hF5[õ]
-1.2675,h15[NAK] Framing Error,hF5[õ]
-1.265,h15[NAK] Framing Error,hF5[õ]
-1.2625,h15[NAK] Framing Error,hF5[õ]
-1.26,h15[NAK] Framing Error,hF5[õ]
-1.2575,h15[NAK] Framing Error,hF5[õ]
-1.255,h15[NAK] Framing Error,hF5[õ]
-1.2525,h15[NAK] Framing Error,hF5[õ]
-1.25,h15[NAK] Framing Error,hF5[õ]
-1.2475,h15[NAK] Framing Error,hF5[õ]
-1.245,h15[NAK] Framing Error,hF5[õ]
-1.2425,h15[NAK] Framing Error,hF5[õ]
-1.24,h15[NAK] Framing Error,hF5[õ]
-1.2375,h15[NAK] Framing Error,hF5[õ]
-1.235,h15[NAK] Framing Error,hF5[õ]
-1.2325,h15[NAK] Framing Error,hF5[õ]
-1.23,h15[NAK] Framing Error,hF5[õ]
-1.2275,h15[NAK] Framing Error,hF5[õ]
-1.225,h15[NAK] Framing Error,hF5[õ]
-1.2225,h15[NAK] Framing Error,hF5[õ]
-1.22,h15[NAK] Framing Error,hF5[õ]
-1.2175,h15[NAK] Framing Error,hF5[õ]
-1.215,h15[NAK] Framing Error,hF5[õ]
-1.2125,h15[NAK] Framing Error,hF5[õ]
-1.21,h15[NAK] Framing Error,hF5[õ]
-1.2075,h15[NAK] Framing Error,hF5[õ]
-1.205,h15[NAK] Framing Error,hF5[õ]
-1.2025,h15[NAK] Framing Error,hF5[õ]
-1.2,h15[NAK] Framing Error,hF5[õ]
