v1	V(output)	V(n007)	V(n008)
4.531535541183269e-03	-3.436173e-03	4.530953e-02	-4.505308e-05
4.563054863473769e-03	-3.436173e-03	4.562468e-02	-4.505308e-05
4.594793419988216e-03	-3.436173e-03	4.594202e-02	-4.505308e-05
4.626752735621227e-03	-3.436173e-03	4.626158e-02	-4.505308e-05
4.658934345873902e-03	-3.436173e-03	4.658335e-02	-4.505308e-05
4.691339796927594e-03	-3.436173e-03	4.690737e-02	-4.505308e-05
4.723970645718201e-03	-3.436173e-03	4.723363e-02	-4.505308e-05
4.756828460010964e-03	-3.436173e-03	4.756217e-02	-4.505308e-05
4.789914818475796e-03	-3.436173e-03	4.789299e-02	-4.505308e-05
4.823231310763124e-03	-3.436173e-03	4.822611e-02	-4.505308e-05
4.856779537580271e-03	-3.436173e-03	4.856155e-02	-4.505308e-05
4.890561110768359e-03	-3.436173e-03	4.889932e-02	-4.505308e-05
4.924577653379751e-03	-3.436173e-03	4.923945e-02	-4.505308e-05
4.958830799756033e-03	-3.436173e-03	4.958193e-02	-4.505308e-05
4.993322195606536e-03	-3.436173e-03	4.992680e-02	-4.505308e-05
5.028053498087402e-03	-3.436173e-03	5.027407e-02	-4.505308e-05
5.063026375881210e-03	-3.436173e-03	5.062376e-02	-4.505308e-05
5.098242509277140e-03	-3.436173e-03	5.097587e-02	-4.505308e-05
5.133703590251709e-03	-3.436173e-03	5.133044e-02	-4.505308e-05
5.169411322550063e-03	-3.436173e-03	5.168747e-02	-4.505308e-05
5.205367421767829e-03	-3.436173e-03	5.204698e-02	-4.505308e-05
5.241573615433549e-03	-3.436173e-03	5.240900e-02	-4.505308e-05
5.278031643091674e-03	-3.436173e-03	5.277353e-02	-4.505308e-05
5.314743256386144e-03	-3.436173e-03	5.314060e-02	-4.505308e-05
5.351710219144547e-03	-3.436173e-03	5.351022e-02	-4.505308e-05
5.388934307462861e-03	-3.436173e-03	5.388242e-02	-4.505308e-05
5.426417309790789e-03	-3.436173e-03	5.425720e-02	-4.505308e-05
5.464161027017684e-03	-3.436173e-03	5.463459e-02	-4.505308e-05
5.502167272559078e-03	-3.436173e-03	5.501460e-02	-4.505308e-05
5.540437872443803e-03	-3.436173e-03	5.539726e-02	-4.505308e-05
5.578974665401727e-03	-3.436173e-03	5.578258e-02	-4.505308e-05
5.617779502952096e-03	-3.436173e-03	5.617058e-02	-4.505308e-05
5.656854249492489e-03	-3.436173e-03	5.656127e-02	-4.505308e-05
5.696200782388396e-03	-3.436173e-03	5.695469e-02	-4.505308e-05
